filename,dc.subject,dc.language.iso,dc.type,dc.date.issued,dc.title,dc.contributor.author,dc.contributor.publisher
DP70017.xml,Pure Sciences||Organic chemistry||Aryl||Some||Sulfides||Unsymmetrical,English,Dissertation,1933,Some unsymmetrical aryl sulfides,"Foss, N. E.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70018.xml,Pure Sciences||Analytical chemistry||Pure Sciences||Organic chemistry||Arsenicals||Fluorinated||Organic||Properties||Synthesis,English,Dissertation,1940,The synthesis and properties of fluorinated organic arsenicals,"Ruddy, A. W.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70019.xml,Pure Sciences||Organic chemistry||A||Bischler||Napieralski||Reaction||Study,English,Dissertation,1947,A study of the Bischler-Napieralski reaction,"Whaley, Wilson Monroe","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70020.xml,Pure Sciences||Organic chemistry||Isoquinoline||Syntheses,English,Dissertation,1947,Isoquinoline syntheses,"Weinbach, Eugene Clayton","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70021.xml,Pure Sciences||Organic chemistry||Aminophenylalanine||Derivatives,English,Dissertation,1948,Aminophenylalanine and derivatives,"Amin, Ramanbhai Chaturbhai","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70022.xml,Pure Sciences||Organic chemistry||A||Acids||Amino||Synthesis,English,Dissertation,1941,The synthesis of a-amino acids,"Hamlin, Kenneth Eldred","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70023.xml,Pure Sciences||Organic chemistry||Acids||Amino||Hydroxy||Synthesis,English,Dissertation,1942,The synthesis of amino-hydroxy acids,"Dittrich, Theodore Thomas","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70024.xml,Pure Sciences||Organic chemistry||A||Acids||Amino||Chain||Long,English,Dissertation,1949,Long-chain &alpha;-amino acids,"Gadekar, Shreekrishna Manmohan","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70025.xml,Pure Sciences||Organic chemistry||Acids||Amino||Further||Studies||Synthesis,English,Dissertation,1946,Further studies on the synthesis of amino acids,"Heyman, Bernice","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70026.xml,Pure Sciences||Organic chemistry||A||Acids||Alkoximino||Derivatives||Preparation,English,Dissertation,1945,The preparation of &alpha;-alkoximino acids and their derivatives,"Waters, Kenneth Lee","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70027.xml,Pure Sciences||Organic chemistry||Action||C||Relationship||Sulfanilamide||Vitamin,English,Dissertation,1941,The relationship of vitamin C to sulfanilamide action,"Karel, Leonard","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70028.xml,Pure Sciences||Organic chemistry||A||Aminothymol||Bases||Nitrosothymol||Particular||Reference||S||Schiff||Study,English,Dissertation,1939,A study of nitrosothymol and aminothymol with particular reference to Schiff's bases of aminothymol,"Sumerford, Wooten Taylor","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70029.xml,Health and Environmental Sciences||Pharmacology||Pure Sciences||Biochemistry||Administration||Dogs||Extreme||Hypochloremia||Induced||Nitrate,English,Dissertation,1939,Extreme hypochloremia in dogs induced by nitrate administration,"Hiatt, Edwin Peelle","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70040.xml,Applied Sciences||Materials science||Action||Ceramic||Combustion||Effect||Gas||Glazes||Manufactured||Particular||Products||Raw||Reference||Ware,English,Dissertation,1941,The effect of products of combustion upon ceramic ware: With particular reference to the action of manufactured gas upon raw glazes,"Bredekamp, Marriott Warfield","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70041.xml,Biological Sciences||Veterinary science||Pure Sciences||Biochemistry||Animals||Body||Determination||Total||Unanesthetized||Water,English,Dissertation,1938,The determination of total body water of unanesthetized animals,"Painter, Elizabeth Edith","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70042.xml,Biological Sciences||Parasitology||Biological Sciences||Veterinary science||A||Blood||Cause||Death||Equiperdum||Erythrocytes||Hemoglobin||Infection||Particular||Plasma||Platelets||Proteins||Rat||Referene||Study||Sugar||Trypanosoma,English,Dissertation,1946,"A study of Trypanosoma equiperdum infection in the rat: With particular referene to blood sugar, erythrocytes, hemoglobin, platelets, plasma proteins and cause of death","Hoppe, James Oliver","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70043.xml,Health and Environmental Sciences||Pathology||Biological Sciences||Morphology||Biological Sciences||Biomechanics||Cause||Duration||Humerus||Man||Site||Torsion,English,Dissertation,1946,"The torsion of the humerus: Its site, cause and duration in man","Krahl, Vernon E.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70044.xml,Health and Environmental Sciences||Pharmacology||A||Comparative||Isoartemisin||Pharmacological||Properties||Santonin||Santoninamine||Study,English,Dissertation,1936,"A comparative study of the pharmacological properties of isoartemisin, santoninamine, and santonin","Evans, William Ellsworth","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70046.xml,Pure Sciences||Biochemistry||Biological Sciences||Physiology||Biological Sciences||Veterinary science||Acute||Cat||Deficiency||Physiological||Studies||Thiamin,English,Dissertation,1943,Physiological studies of acute thiamin deficiency in the cat,"Everett, Guy M.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70047.xml,"Language, Literature and Linguistics||Medieval literature||Copeland||Degore||Edited||Reprint||S||Syr||Text||Utterson",English,Dissertation,1930,Syr Degore: Edited from Utterson's reprint of the Copeland text,"De Mooy, Elsie Margaret","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70048.xml,Pure Sciences||Mathematics||Hyperconformal||Transformations,English,Dissertation,1937,Hyperconformal transformations,"Alrich, George Frederick","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70049.xml,Health and Environmental Sciences||Pharmacology||A||Pharmacological||Study||Ustilago,English,Dissertation,1937,A pharmacological study of Ustilago,"Hunt, William H.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70050.xml,Health and Environmental Sciences||Pharmacology||Health and Environmental Sciences||Alternative medicine||Flowers||Pharmacology||Pyrethrum,English,Dissertation,1936,The pharmacology of pyrethrum flowers,"Rosen, Harry","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70051.xml,Pure Sciences||Analytical chemistry||A||Chemical||Ergot||Investigation||Rye,English,Dissertation,1934,A chemical investigation of ergot of rye,"Greenberg, H. L.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70052.xml,Pure Sciences||Biochemistry||Health and Environmental Sciences||Pharmacology||Biological Sciences||Botany||A||Americana||Linne||Pharmacological||Phytochemical||Phytolacca||Study,English,Dissertation,1935,A phytochemical and pharmacological study of <italic>Phytolacca<p>americana</italic> Linne,"Goldstein, Samuel W.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70053.xml,Biological Sciences||Ecology||Biological Sciences||Zoology||Biological Sciences||Biological oceanography||Bay||Biology||Brachidontes||Chesapeake||Curved||Ecological||Growth||Mussel||Observations||Rafinesque||Recurvus||Relationships||Upper,English,Dissertation,1952,"Observations on the biology, ecological relationships and growth<p>of the curved mussel, <italic>Brachidontes recurvus</italic> (Rafinesque)<p>in the upper Chesapeake Bay","Allen, J. Frances","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70054.xml,Pure Sciences||Biochemistry||Biological Sciences||Botany||Bioassay||Digitalis||Factor||Observations||Ph,English,Dissertation,1936,The bioassay of <italic>Digitalis</italic> with observations<p>on the pH factor,"Ichniowski, Casimir T.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70055.xml,Pure Sciences||Organic chemistry||Pure Sciences||Analytical chemistry||Cyclopentadienes||Diaryl||Some||Synthesis,English,Dissertation,1938,The synthesis of some diaryl cyclopentadienes,"Adams, John Robert","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70056.xml,Pure Sciences||Physical chemistry||Concentration||Effect||Emulsions||Hydrogen||Ion||Stability,English,Dissertation,1928,Emulsions and the effect of hydrogen ion concentration upon their stability,"Krantz, John Christian","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70057.xml,Biological Sciences||Plant pathology||Pure Sciences||Biochemistry||Biological Sciences||Soil sciences||Association||Black||Certain||Characters||Chemical||Histological||Influenced||Root||Roots||Rot||Soil||Strawberry||Susceptibility||Treatment,English,Dissertation,1937,The association of certain chemical and histological characters with susceptibility in strawberry roots to black root rot as influenced by soil treatment,"Anderson, Earl Jennings","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70058.xml,Social Sciences||Geography||Social Sciences||Agricultural economics||Analysis||County||Fruit||Geographical||Industry||Maryland||Washington,English,Dissertation,1953,"Geographical analysis of Washington County, Maryland, and its fruit industry","Alta'i, Mohammad Hamid","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70059.xml,Biological Sciences||Food science||Apples||Applications||Color||Content||Early||Effect||Fall||Fruit||Keeping||Late||Leaves||Nitrate||Nitrogen||Quality||Same||Season||Sodium||Spurs||Summer,English,Dissertation,1930,"Effect of late summer and early fall applications of sodium nitrate upon the color and keeping quality of apples the same season, and upon the nitrogen content of the fruit, leaves, and spurs","Aldrich, Willard Walker","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70060.xml,Social Sciences||American history||Social Sciences||Law||British||Confiscation||Legislation||Loyalist||Property||Revolutionary||War,English,Dissertation,1937,The legislation for the confiscation of British and Loyalist property during the Revolutionary War,"Allen, Rolfe Lyman","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70062.xml,Biological Sciences||Entomology||Biological Sciences||Morphology||A||Coleopterous||Comparative||Labium||Larvae||Study,English,Dissertation,1936,A comparative study of the labium of coleopterous larvae,"Anderson, William Henry","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70063.xml,Pure Sciences||Biochemistry||Pure Sciences||Organic chemistry||10||9||Acid||Chemical||Dihydroxystearic||Fish||I||Ii||Isomerism||Menhadin||Oil||Part||Studies,English,Dissertation,1942,"Part I. Chemical studies on menhadin fish oil. Part II. Isomerism of 9, 10-dihydroxystearic acid","Baldwin, Willis Harford","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70064.xml,Biological Sciences||Biological oceanography||Biological Sciences||Zoology||A||Agassiz||Dactylometra||History||L||Life||Quinquecirrha||Species||Study||Taxonomic||Validity,English,Dissertation,1938,"A study of the life history of <italic>Dactylometra quinquecirrha,<p></italic> L. Agassiz, and the taxonomic validity of this species","Littleford, Robert Anthony","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70065.xml,Pure Sciences||Biochemistry||Biological Sciences||Morphology||Biological Sciences||Botany||Anatomical||Biochemical||Bulbs||Changes||Narcissus||Storage||Summer||Temperatures||Various,English,Dissertation,1935,Anatomical and biochemical changes in narcissus bulbs during summer storage at various temperatures,"Lumsden, David Victor","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70066.xml,Social Sciences||American history||Social Sciences||Womens studies||Century||Eighteenth||Georgia||Women,English,Dissertation,1939,Eighteenth century Georgia women,"Bartlett, Helen R.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70067.xml,Biological Sciences||Food science||Biological Sciences||Microbiology||Aerobacter||Bacteria||Detection||Escherichia||Group||Milk||Significance,English,Dissertation,1936,The detection and significance of the <italic>Escherichia &mdash;<p>Aerobacter</italic> group of bacteria in milk,"Bartram, M. Thomas","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70068.xml,Biological Sciences||Genetics||Biological Sciences||Botany||Biological Sciences||Horticulture||Chromosome||Commercial||Reference||Special||Studies||Varieties||Verbena,English,Dissertation,1938,Chromosome studies in <italic>Verbena</italic> with special<p>reference to the commercial varieties,"McCann, Lewis Paul","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70069.xml,Pure Sciences||Electromagnetics||Pure Sciences||High energy physics||Beams||Charge||Depression||Electron||Having||Potential||Space||Waves,English,Dissertation,1953,Waves in electron beams having space charge depression of potential,"Beam, Walter R.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70070.xml,Biological Sciences||Agronomy||Biological Sciences||Soil sciences||Agricultural||Blast||Furnace||Liming||Material||Slag,English,Dissertation,1952,Blast furnace slag as an agricultural liming material,"Bentz, Frank Lawrence","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70071.xml,Biological Sciences||Entomology||Biological Sciences||Morphology||A||Comparative||Insects||Nervous||Stomodaeal||Study||System,English,Dissertation,1940,A comparative study of the stomodaeal nervous system of insects,"Bickley, William E.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70072.xml,Pure Sciences||Organic chemistry||Pure Sciences||Analytical chemistry||1||4||Characterization||Chemical||Ester||Malonic||Naphthoquinone||Product||Proof||Reaction||Structure,English,Dissertation,1948,"The reaction of 1,4-naphthoquinone with malonic ester. Proof of structure and chemical characterization of the product","Boehme, Werner Richard","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70073.xml,Biological Sciences||Agronomy||A||Cabbage||Environmental||Factors||Influencing||Over||Seed||Shooting||Some||Study||Wintered,English,Dissertation,1926,A study of some environmental factors influencing the shooting to seed of wintered-over cabbage,"Boswell, Victor R.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70074.xml,Biological Sciences||Soil sciences||A||Cause||Chemical||Formation||Hardpan||Investigation||Maryland||Soils||Southern,English,Dissertation,1938,A chemical investigation of the cause of hardpan formation in southern Maryland soils,"Madigan, George Francis","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70075.xml,Education||Teacher education||Education||Industrial arts education||A||Arts||Industrial||Problems||Recommendations||Selected||Student||Study||Teaching||Treatment,English,Dissertation,1949,Student teaching in industrial arts: A study of selected problems with recommendations for their treatment,"Maley, Donald","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70076.xml,"Social Sciences||American history||Philosophy, Religion and Theology||Religious history||1742||1882||A||Baptists||Denominational||History||Maryland",English,Dissertation,1948,A denominational history of the Maryland Baptists (1742-1882),"Maring, Norman H.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70077.xml,Biological Sciences||Microbiology||A||Aureus||Beef||Broth||Certain||Extract||Factors||Grown||Influence||Resistance||Staphylococcus||Study||Which,English,Dissertation,1940,A study of certain factors which influence the resistance of <italic><p>Staphylococcus aureus</italic> when grown in beef extract broth,"Brewer, Charles MacFarlane","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70078.xml,Biological Sciences||Soil sciences||Pure Sciences||Biochemistry||Biological Sciences||Plant pathology||A||Biochemical||Brown||Matter||Organic||Related||Root||Rot||Soil||Study||Tobacco,English,Dissertation,1935,A biochemical study of soil organic matter as related to brown root rot of tobacco,"Matthews, Earle Dwight","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70079.xml,Biological Sciences||Plant sciences||Bluegrass||Criteria||Extent||Formation||Implications||Kentucky||Nature||Practical||Seed||Type||Variation,English,Dissertation,1942,The nature and extent of variation in Kentucky bluegrass as criteria for type of seed formation and its practical implications,"Brittingham, William Henry","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70080.xml,Social Sciences||Agricultural economics||Social Sciences||International relations||Competition||Dairy||Foreign||Industry||States||United,English,Dissertation,1927,Foreign competition in the dairy industry in the United States.,"Brookens, Perley Floyd","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70081.xml,Pure Sciences||Analytical chemistry||A||Electrode||Glass||Reference||Use,English,Dissertation,1940,The use of the glass electrode as a reference electrode,"Brooks, Paul Sherwood","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70082.xml,Biological Sciences||Physiology||Pure Sciences||Biochemistry||Biological Sciences||Botany||A||Aerobic||Anaerobic||Comparative||Different||Organs||Plants||Respiration||Storage||Study,English,Dissertation,1934,A comparative study of the aerobic and anaerobic respiration in the storage organs of different plants,"Brown, Russell Guy","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70083.xml,Biological Sciences||Entomology||Biological Sciences||Animal sciences||Biological Sciences||Ecology||A||Accessory||Aedes||Aegypti||Common||Concentrations||Culex||Different||Factors||Fever||Growth||House||Hydrogen||I||Ii||Ion||L||Larvae||Media||Metabolism||Microorganisms||Mosquito||Nutrition||Part||Pipiens||Relations||Solutes||Some||Studies||Study||Survival||Utilization||Vitamins||Yellow,English,Dissertation,1940,"Some studies in the nutrition and metabolism of the yellow<p>fever mosquito, <italic>Aedes aegypti</italic> L. and the common house mosquito, <italic><p>Culex pipiens</italic> L. Part I. A study of mosquito larvae nutrition in<p>the relations to microorganisms, the vitamins or accessory growth factors,<p>and the utilization of solutes by the larvae. Part II. The survival of the<p>larvae in media of different concentrations of the hydrogen ion","Buddington, Arthur R.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70084.xml,Pure Sciences||Physical chemistry||Pure Sciences||Organic chemistry||Benzene||Fields||Force||Investigation||Triamine||Triborine,English,Dissertation,1952,An investigation of the force fields in triborine triamine and in benzene,"Chang, Shih-ch'uan","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70085.xml,Pure Sciences||Biochemistry||Health and Environmental Sciences||Nutrition||Ages||Chemical||Composition||Effects||Rats||Starvation||Thirst||Various,English,Dissertation,1939,Effects of starvation and thirst on the chemical composition of rats of various ages,"Nash, Carroll B.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70086.xml,Pure Sciences||Physical chemistry||Pure Sciences||Biochemistry||A||Chemical||Corn||Physico||Polysaccharides||Soluble||Study||Sweet,English,Dissertation,1932,A physico-chemical study of the soluble polysaccharides of sweet corn,"Parker, Marion Wesley","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70087.xml,Pure Sciences||Biochemistry||Biological Sciences||Physiology||Biological Sciences||Botany||Auxin||Avena||Coleoptile||Protoplasmic||Relation||Respiration||Streaming||Transport,English,Dissertation,1939,The relation of protoplasmic streaming in the <italic>Avena<p>coleoptile</italic> to respiration and auxin transport,"Olson, Rodney Andreen","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70088.xml,Psychology||Psychobiology||Psychology||Cognitive psychology||Associations||Multidimensional||Psychophysics||Verbal,English,Dissertation,1953,Multidimensional psychophysics and verbal associations,"Ray, William S.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70089.xml,Social Sciences||American history||Social Sciences||Public administration||1789||1832||Maryland||Rights||States,English,Dissertation,1940,"States-rights in Maryland, 1789-1832","Remington, Jesse A.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70090.xml,Biological Sciences||Entomology||Biological Sciences||Zoology||A||Based||Evidence||Musculature||Relations||Skeletal||Study||Taxonomic||Trichoptera,English,Dissertation,1935,Evidence of the taxonomic relations of the Trichoptera based on a study of the skeletal musculature,"Roberts, J. Harvey","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70091.xml,Biological Sciences||Food science||Social Sciences||Agricultural economics||Commercial||Considered||Especially||Process||Ripening||Standpoint||Tomato,English,Dissertation,1920,"The process of ripening in the tomato, considered especially from the commercial standpoint","Sando, Charles E.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70092.xml,Biological Sciences||Food science||A||Cold||Comparative||Periods||Respiratory||Responses||Storage||Study||Vegetables,English,Dissertation,1929,A comparative study of the respiratory responses in vegetables after periods of cold storage,"Smith, Charles Linton","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70093.xml,Biological Sciences||Agronomy||A||Affecting||Bean||Bush||Certain||Factors||Fruit||Henderson||Lima||Set||Study,English,Dissertation,1932,A study of certain factors affecting the set of fruit in Henderson bush lima bean,"Cordner, H. B.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70094.xml,Biological Sciences||Cellular biology||Biological Sciences||Microbiology||Biological Sciences||Plant pathology||A||Casual||Cytological||Leaf||Lycopersici||Organism||Septoria||Speg||Spot||Study||Tomato,English,Dissertation,1934,"A cytological study of the tomato leaf spot and its casual<p>organism, <italic>Septoria lycopersici</italic> (speg.)","Simonds, Florence Tucker","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70095.xml,Biological Sciences||Entomology||Biological Sciences||Morphology||Biological Sciences||Biological oceanography||Blue||Callinectes||Crab||Musculature||Rathbun||Sapidus||Skeletal,English,Dissertation,1933,"The skeletal musculature of the blue crab, <italic>Callinectes<p>sapidus</italic> Rathbun","Cochran, Doris M.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70096.xml,Social Sciences||American history||Social Sciences||Public administration||Early||Federalism||Opposition,English,Dissertation,1937,The opposition to early federalism,"Davis, Chester Arthur","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70097.xml,Pure Sciences||Biochemistry||Biological Sciences||Physiology||Biological Sciences||Botany||A||Biochemical||Fruits||Insoluble||Materials||Pectic||Physiological||Study||Vegetables,English,Dissertation,1925,A biochemical and physiological study of the insoluble pectic materials in vegetables and fruits,"Conrad, Carl Marcus","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70098.xml,Pure Sciences||Organic chemistry||Pure Sciences||Analytical chemistry||Compounds||Effect||Electroisomerism||Heat||Light||Theory||Ultra||Unsaturated||Violet,English,Dissertation,1928,The effect of heat and ultra-violet light on unsaturated compounds and the theory of electroisomerism,"Darkis, Frederick Randolph","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70099.xml,Biological Sciences||Food science||Fertilizers||Fruits||Influence||Keeping||Nitrogen||Qualities||Shipping,English,Dissertation,1931,The influence of nitrogen fertilizers on the shipping and keeping qualities of fruits,"Degman, Elliott Sanford","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70100.xml,Biological Sciences||Plant pathology||Biological Sciences||Entomology||Corn||Earworm||Studies,English,Dissertation,1931,Studies on the corn earworm,"Ditman, Lewis Polster","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70101.xml,Biological Sciences||Animal sciences||Biological Sciences||Morphology||Pure Sciences||Biochemistry||Anatomical||Chemical||Crossbred||Guinea||Inbred||Pigs||Strains||Study,English,Dissertation,1935,An anatomical and chemical study of inbred and crossbred strains of guinea pigs,"Eaton, Orson Northrup","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70102.xml,Biological Sciences||Botany||Cucumbers||Expression||Sex,English,Dissertation,1933,Sex expression in cucumbers,"Edmond, J. B.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70103.xml,Biological Sciences||Zoology||Biological Sciences||Morphology||Biological Sciences||Physiology||Biological Sciences||Neurosciences||Changes||Circulation||Control||Gill||Humoral||Involved||Morphology||Neuro||Physiology||Reduction||Salamanders||Vascular,English,Dissertation,1934,"The neuro-humoral control of circulation, or the morphology and physiology of the vascular changes involved in gill reduction in salamanders","Figge, Frank H. J.","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70104.xml,Biological Sciences||Microbiology||Acidophilus||Affecting||Factors||Growth||Lactobacillus||Viability,English,Dissertation,1936,Factors affecting the growth and viability of <italic>Lactobacillus<p>acidophilus</italic>,"Dunnigan, Arthur Paul","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70105.xml,Biological Sciences||Soil sciences||Pure Sciences||Inorganic chemistry||Pure Sciences||Analytical chemistry||Colorimetric||Determination||Forms||Inorganic||Phosphorus||Soils,English,Dissertation,1935,The colorimetric determination of the forms of inorganic phosphorus in soils,"Fisher, Raymond Anderson","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70106.xml,Pure Sciences||Biochemistry||Biological Sciences||Botany||A||Apples||Color||Factors||Influencing||Red||Study,English,Dissertation,1930,A study of the factors influencing the red color on apples,"Fletcher, Lewis Arrowood","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70107.xml,Pure Sciences||Organic chemistry||Certain||Electronegativity||Interpreting||Organic||Radicals||Reactions||Relative||Use,English,Dissertation,1927,The relative electronegativity of organic radicals and its use in interpreting certain organic reactions,"Flenner, Albert Lawrence","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
DP70108.xml,Biological Sciences||Food science||A||Associated||Cracks||Factors||Fruit||Occurrence||Some||Study||Tomato,English,Dissertation,1933,A study of some factors associated with the occurrence of cracks in the tomato fruit,"Frazier, William Allen","Digital Repository at the University of Maryland||University of Maryland (College Park, Md)"
